web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857729-176","https://www.gaaraas.com/fr/users/dakar-auto?page=57","","","Il n'y a pas d'annonce","","","","",""
"1785857729-177","https://www.gaaraas.com/fr/users/dakar-auto?page=57","","","Souscrire à notre newsletter","","","","",""
"1785857729-178","https://www.gaaraas.com/fr/users/dakar-auto?page=57","","","","","","","",""
"1785857733-179","https://www.gaaraas.com/fr/users/dakar-auto?page=56","","","","","","","",""
"1785857733-180","https://www.gaaraas.com/fr/users/dakar-auto?page=56","","","Il n'y a pas d'annonce","","","","",""
"1785857733-181","https://www.gaaraas.com/fr/users/dakar-auto?page=56","","","Souscrire à notre newsletter","","","","",""
"1785857733-182","https://www.gaaraas.com/fr/users/dakar-auto?page=56","","","","","","","",""
"1785857738-183","https://www.gaaraas.com/fr/users/dakar-auto?page=55","","","","","","","",""
"1785857738-184","https://www.gaaraas.com/fr/users/dakar-auto?page=55","","","Il n'y a pas d'annonce","","","","",""
"1785857738-185","https://www.gaaraas.com/fr/users/dakar-auto?page=55","","","Souscrire à notre newsletter","","","","",""
"1785857738-186","https://www.gaaraas.com/fr/users/dakar-auto?page=55","","","","","","","",""
"1785857742-187","https://www.gaaraas.com/fr/users/dakar-auto?page=54","","","","","","","",""
"1785857742-188","https://www.gaaraas.com/fr/users/dakar-auto?page=54","","","Il n'y a pas d'annonce","","","","",""
"1785857742-189","https://www.gaaraas.com/fr/users/dakar-auto?page=54","","","Souscrire à notre newsletter","","","","",""
"1785857742-190","https://www.gaaraas.com/fr/users/dakar-auto?page=54","","","","","","","",""
"1785857747-191","https://www.gaaraas.com/fr/users/dakar-auto?page=53","","","","","","","",""
"1785857747-192","https://www.gaaraas.com/fr/users/dakar-auto?page=53","","","Il n'y a pas d'annonce","","","","",""
"1785857747-193","https://www.gaaraas.com/fr/users/dakar-auto?page=53","","","Souscrire à notre newsletter","","","","",""
"1785857747-194","https://www.gaaraas.com/fr/users/dakar-auto?page=53","","","","","","","",""
"1785857753-195","https://www.gaaraas.com/fr/users/dakar-auto?page=52","","","","","","","",""
"1785857753-196","https://www.gaaraas.com/fr/users/dakar-auto?page=52","","","Il n'y a pas d'annonce","","","","",""
"1785857753-197","https://www.gaaraas.com/fr/users/dakar-auto?page=52","","","Souscrire à notre newsletter","","","","",""
"1785857753-198","https://www.gaaraas.com/fr/users/dakar-auto?page=52","","","","","","","",""
"1785857757-199","https://www.gaaraas.com/fr/users/dakar-auto?page=51","","","","","","","",""
"1785857757-200","https://www.gaaraas.com/fr/users/dakar-auto?page=51","","","Il n'y a pas d'annonce","","","","",""
